[2025-07-07 12:01:29,277] INFO: TORCH_USE_DTENSOR: None
[2025-07-07 12:01:29,277] INFO: [INFO] Loading Commonsense170K dataset
[2025-07-07 12:01:29,290] INFO: [INFO] Loading tokenizer
[2025-07-07 12:01:29,382] INFO: [INFO] Loading model
[2025-07-07 12:01:30,626] INFO: 模型权重所在设备: cuda:0
[2025-07-07 12:01:30,777] INFO: 注入CLoRA后模型权重设备: cuda:0
[2025-07-07 12:01:30,912] INFO: gcc -pthread -B /root/miniconda3/envs/clora/compiler_compat -Wno-unused-result -Wsign-compare -DNDEBUG -fwrapv -O2 -Wall -fPIC -O2 -isystem /root/miniconda3/envs/clora/include -fPIC -O2 -isystem /root/miniconda3/envs/clora/include -fPIC -c /tmp/tmp85_h3b_l/test.c -o /tmp/tmp85_h3b_l/test.o
[2025-07-07 12:01:30,927] INFO: gcc -pthread -B /root/miniconda3/envs/clora/compiler_compat /tmp/tmp85_h3b_l/test.o -laio -o /tmp/tmp85_h3b_l/a.out
[2025-07-07 12:01:31,488] INFO: gcc -pthread -B /root/miniconda3/envs/clora/compiler_compat -Wno-unused-result -Wsign-compare -DNDEBUG -fwrapv -O2 -Wall -fPIC -O2 -isystem /root/miniconda3/envs/clora/include -fPIC -O2 -isystem /root/miniconda3/envs/clora/include -fPIC -c /tmp/tmpv43lq4fs/test.c -o /tmp/tmpv43lq4fs/test.o
[2025-07-07 12:01:31,503] INFO: gcc -pthread -B /root/miniconda3/envs/clora/compiler_compat /tmp/tmpv43lq4fs/test.o -L/usr/local/cuda -L/usr/local/cuda/lib64 -lcufile -o /tmp/tmpv43lq4fs/a.out
[2025-07-07 12:01:34,174] INFO: [INFO] loss: 2.8619, orth_loss: 0.0018, total_loss: 2.8637, grad_norm: 21.1250
[2025-07-07 12:01:35,795] INFO: [INFO] loss: 2.9413, orth_loss: 0.0018, total_loss: 2.9430, grad_norm: 25.7500
[2025-07-07 12:01:37,408] INFO: [INFO] loss: 2.8805, orth_loss: 0.0018, total_loss: 2.8823, grad_norm: 20.3750
[2025-07-07 12:01:39,017] INFO: [INFO] loss: 3.0270, orth_loss: 0.0018, total_loss: 3.0288, grad_norm: 28.5000
[2025-07-07 12:01:40,626] INFO: [INFO] loss: 2.9693, orth_loss: 0.0018, total_loss: 2.9711, grad_norm: 25.5000
[2025-07-07 12:01:42,235] INFO: [INFO] loss: 2.8399, orth_loss: 0.0018, total_loss: 2.8417, grad_norm: 20.8750
[2025-07-07 12:01:43,843] INFO: [INFO] loss: 2.9070, orth_loss: 0.0018, total_loss: 2.9088, grad_norm: 22.2500
[2025-07-07 12:01:45,450] INFO: [INFO] loss: 2.9844, orth_loss: 0.0018, total_loss: 2.9862, grad_norm: 20.2500
[2025-07-07 12:01:47,187] INFO: [INFO] loss: 2.8024, orth_loss: 0.0018, total_loss: 2.8042, grad_norm: 20.0000
[2025-07-07 12:01:48,890] INFO: [INFO] loss: 2.8054, orth_loss: 0.0018, total_loss: 2.8072, grad_norm: 23.1250
[2025-07-07 12:01:50,499] INFO: [INFO] loss: 2.7592, orth_loss: 0.0018, total_loss: 2.7610, grad_norm: 18.2500
[2025-07-07 12:01:52,108] INFO: [INFO] loss: 2.7236, orth_loss: 0.0018, total_loss: 2.7254, grad_norm: 20.7500
[2025-07-07 12:01:53,719] INFO: [INFO] loss: 2.9773, orth_loss: 0.0018, total_loss: 2.9791, grad_norm: 27.7500
[2025-07-07 12:01:55,328] INFO: [INFO] loss: 2.9850, orth_loss: 0.0018, total_loss: 2.9868, grad_norm: 25.6250
[2025-07-07 12:01:56,937] INFO: [INFO] loss: 2.9651, orth_loss: 0.0018, total_loss: 2.9669, grad_norm: 23.3750
[2025-07-07 12:01:58,545] INFO: [INFO] loss: 2.8166, orth_loss: 0.0018, total_loss: 2.8184, grad_norm: 21.1250
